cohorts_month,life_month,active_players,paying_players,active_subscribers,total_sub_revenue,total_purchase_revenue,total_items_bought,cohort_size,retention_rate
2016-01-01,21.0,167,75,37,11600.0,66097.06999999999,252.0,1360,0.12279411764705882
2016-01-01,22.0,154,72,35,11100.0,48184.2,202.0,1360,0.11323529411764706
2016-01-01,23.0,152,76,39,13000.0,61887.81,242.0,1360,0.11176470588235295
2016-01-01,24.0,131,79,39,12700.0,50869.42,200.0,1360,0.09632352941176471
2016-01-01,25.0,143,72,34,11300.0,51290.72,198.0,1360,0.10514705882352941
2016-01-01,26.0,160,77,36,11300.0,55994.86,224.0,1360,0.11764705882352941
2016-01-01,27.0,155,75,33,10300.0,46396.270000000004,205.0,1360,0.11397058823529412
2016-01-01,28.0,156,88,37,10600.0,67419.21,276.0,1360,0.11470588235294117
2016-01-01,29.0,156,90,44,12600.0,70214.87,299.0,1360,0.11470588235294117
2016-01-01,30.0,164,81,44,13200.0,77029.3,293.0,1360,0.12058823529411765
2016-01-01,31.0,167,88,39,11000.0,74164.36,279.0,1360,0.12279411764705882
2016-01-01,32.0,165,101,50,16400.0,74921.68000000001,304.0,1360,0.1213235294117647
2016-01-01,33.0,160,98,54,17500.0,51040.54,191.0,1360,0.11764705882352941
2016-01-01,34.0,163,90,45,13900.0,66946.51,275.0,1360,0.11985294117647059
2016-01-01,35.0,159,94,46,13300.0,73157.41,280.0,1360,0.11691176470588235
2016-01-01,36.0,172,80,47,13800.0,63926.02,267.0,1360,0.1264705882352941
2016-01-01,37.0,165,89,42,12200.0,71815.04,278.0,1360,0.1213235294117647
2016-01-01,38.0,154,81,35,10500.0,41227.77,176.0,1360,0.11323529411764706
2016-01-01,39.0,146,74,36,11900.0,60535.04,242.0,1360,0.10735294117647058
2016-01-01,40.0,167,71,35,11300.0,53918.46,229.0,1360,0.12279411764705882
2016-01-01,41.0,162,70,33,10700.0,55190.92,214.0,1360,0.11911764705882352
2016-01-01,42.0,175,85,38,12900.0,65269.35,269.0,1360,0.12867647058823528
2016-01-01,43.0,177,95,38,12300.0,63214.05,252.0,1360,0.13014705882352942
2016-01-01,44.0,162,83,36,12000.0,60604.45,243.0,1360,0.11911764705882352
2016-01-01,45.0,146,81,38,12100.0,53929.15,211.0,1360,0.10735294117647058
2016-01-01,46.0,157,87,40,12400.0,70111.61,286.0,1360,0.11544117647058824
2016-01-01,47.0,152,75,40,11900.0,48797.71,216.0,1360,0.11176470588235295
2016-01-01,48.0,151,81,42,12600.0,63670.3,247.0,1360,0.11102941176470588
2016-01-01,49.0,138,72,36,10800.0,44545.01,186.0,1360,0.10147058823529412
2016-01-01,50.0,153,76,33,9000.0,41893.53,166.0,1360,0.1125
2016-01-01,51.0,161,82,34,9400.0,73061.0,274.0,1360,0.11838235294117647
2016-01-01,52.0,154,81,33,9200.0,50808.52,201.0,1360,0.11323529411764706
2016-01-01,53.0,157,76,32,9500.0,67783.46,246.0,1360,0.11544117647058824
2016-01-01,54.0,153,77,35,9800.0,66260.22,270.0,1360,0.1125
2016-01-01,55.0,167,86,37,9700.0,66211.13,258.0,1360,0.12279411764705882
2016-01-01,56.0,150,86,42,11300.0,63683.19,253.0,1360,0.11029411764705882
2016-01-01,57.0,159,80,40,10600.0,58057.18,224.0,1360,0.11691176470588235
2016-01-01,58.0,159,82,35,9400.0,54519.48,233.0,1360,0.11691176470588235
2016-01-01,59.0,155,82,36,9300.0,61856.67,254.0,1360,0.11397058823529412
2016-01-01,60.0,163,82,36,9800.0,73177.38,273.0,1360,0.11985294117647059
2016-01-01,61.0,169,81,40,11300.0,69693.66,294.0,1360,0.12426470588235294
2016-01-01,62.0,166,80,38,11000.0,64779.08,273.0,1360,0.12205882352941176
2016-01-01,63.0,168,82,34,9700.0,54781.93,236.0,1360,0.12352941176470589
2016-01-01,64.0,171,83,33,8700.0,55820.19,210.0,1360,0.12573529411764706
2016-01-01,65.0,168,75,36,9300.0,69470.0,275.0,1360,0.12352941176470589
2016-01-01,66.0,171,84,41,11400.0,67990.95,275.0,1360,0.12573529411764706
2016-01-01,67.0,154,78,38,10500.0,60392.95,227.0,1360,0.11323529411764706
2016-01-01,68.0,165,88,42,11800.0,65535.8,251.0,1360,0.1213235294117647
2016-01-01,69.0,165,85,39,11500.0,57608.98,230.0,1360,0.1213235294117647
2016-01-01,70.0,155,78,34,9800.0,47140.83,194.0,1360,0.11397058823529412
2016-01-01,71.0,156,81,32,9100.0,47014.6,192.0,1360,0.11470588235294117
2016-01-01,72.0,150,77,35,10300.0,53675.09,215.0,1360,0.11029411764705882
2016-01-01,73.0,158,77,33,8700.0,64554.26,241.0,1360,0.1161764705882353
2016-01-01,74.0,143,72,35,9100.0,45770.48,195.0,1360,0.10514705882352941
2016-01-01,75.0,151,73,31,8000.0,55691.94,229.0,1360,0.11102941176470588
2016-01-01,76.0,144,67,28,6500.0,57542.04,227.0,1360,0.10588235294117647
2016-01-01,77.0,159,82,28,6800.0,51389.99,215.0,1360,0.11691176470588235
2016-01-01,78.0,152,75,33,8400.0,49097.23,189.0,1360,0.11176470588235295
2016-01-01,79.0,145,76,29,7600.0,45689.9,180.0,1360,0.10661764705882353
2016-01-01,80.0,165,73,32,9100.0,51203.34,192.0,1360,0.1213235294117647
2016-01-01,81.0,156,79,29,8700.0,42779.72,180.0,1360,0.11470588235294117
2016-01-01,82.0,158,66,28,8600.0,45521.6,173.0,1360,0.1161764705882353
2016-01-01,83.0,162,72,34,10700.0,57534.409999999996,226.0,1360,0.11911764705882352
2016-01-01,84.0,144,66,34,10100.0,55077.06,214.0,1360,0.10588235294117647
2016-02-01,0.0,1263,480,76,21800.0,385528.58,1482.0,1263,1.0
2016-02-01,1.0,997,394,122,36800.0,373355.55,1410.0,1263,0.7893903404592241
2016-02-01,2.0,779,357,133,39100.0,301289.83,1231.0,1263,0.6167854315122724
2016-02-01,3.0,646,314,145,42100.0,256081.88,1006.0,1263,0.5114806017418844
2016-02-01,4.0,508,264,126,36800.0,208569.11,784.0,1263,0.40221694378463974
2016-02-01,5.0,413,241,115,33100.0,201100.73,789.0,1263,0.3269992082343626
2016-02-01,6.0,344,206,122,36200.0,138173.11,564.0,1263,0.2723673792557403
2016-02-01,7.0,286,183,95,26800.0,111636.44,452.0,1263,0.22644497228820268
2016-02-01,8.0,257,151,85,23300.0,100599.83,356.0,1263,0.2034837688044339
2016-02-01,9.0,215,124,72,19500.0,76858.6,321.0,1263,0.1702296120348377
2016-02-01,10.0,185,113,59,15100.0,85140.01,329.0,1263,0.14647664291369755
2016-02-01,11.0,170,106,59,16700.0,73561.79,291.0,1263,0.13460015835312747
2016-02-01,12.0,164,102,57,16600.0,80608.67,331.0,1263,0.12984956452889945
2016-02-01,13.0,162,92,50,14600.0,91733.52,353.0,1263,0.12826603325415678
2016-02-01,14.0,152,88,52,15600.0,59418.08,239.0,1263,0.12034837688044339
2016-02-01,15.0,149,88,47,13700.0,60429.54,209.0,1263,0.11797307996832937
2016-02-01,16.0,148,91,40,12000.0,59372.6,231.0,1263,0.11718131433095803
2016-02-01,17.0,143,74,42,12000.0,48946.520000000004,204.0,1263,0.11322248614410134
2016-02-01,18.0,147,83,43,12200.0,56752.1,203.0,1263,0.1163895486935867
2016-02-01,19.0,149,74,32,9400.0,58359.33,218.0,1263,0.11797307996832937
2016-02-01,20.0,156,78,30,9000.0,72062.38,277.0,1263,0.12351543942992874
2016-02-01,21.0,153,78,32,11000.0,59592.24,227.0,1263,0.12114014251781473
2016-02-01,22.0,142,69,28,9600.0,57257.24,232.0,1263,0.11243072050673
2016-02-01,23.0,139,59,29,8700.0,45891.07,170.0,1263,0.110055423594616
2016-02-01,24.0,139,74,30,9200.0,56614.61,224.0,1263,0.110055423594616
2016-02-01,25.0,128,61,28,9000.0,50346.81,194.0,1263,0.10134600158353127
2016-02-01,26.0,137,68,29,8800.0,58183.71,203.0,1263,0.10847189231987332
2016-02-01,27.0,147,70,31,9900.0,55153.45,207.0,1263,0.1163895486935867
2016-02-01,28.0,160,82,40,11500.0,71525.15,277.0,1263,0.12668250197941408
2016-02-01,29.0,159,85,45,13100.0,62839.4,245.0,1263,0.12589073634204276
2016-02-01,30.0,149,90,42,12400.0,65840.01,279.0,1263,0.11797307996832937
2016-02-01,31.0,134,69,36,10200.0,47688.94,176.0,1263,0.1060965954077593
2016-02-01,32.0,135,68,34,10100.0,42650.02,166.0,1263,0.10688836104513064
2016-02-01,33.0,136,82,31,9500.0,48870.76,200.0,1263,0.10768012668250197
2016-02-01,34.0,134,69,31,8900.0,45991.5,172.0,1263,0.1060965954077593
2016-02-01,35.0,137,55,28,8200.0,42767.11,167.0,1263,0.10847189231987332
2016-02-01,36.0,128,62,31,9700.0,47580.07,203.0,1263,0.10134600158353127
2016-02-01,37.0,139,59,33,10100.0,48949.19,202.0,1263,0.110055423594616
2016-02-01,38.0,136,62,31,8600.0,49741.05,196.0,1263,0.10768012668250197
2016-02-01,39.0,134,70,31,9500.0,51548.07,213.0,1263,0.1060965954077593
2016-02-01,40.0,133,72,32,10300.0,53606.39,223.0,1263,0.10530482977038796
2016-02-01,41.0,138,68,35,11800.0,51879.54,223.0,1263,0.10926365795724466
2016-02-01,42.0,140,73,36,12100.0,55498.06,231.0,1263,0.11084718923198733
2016-02-01,43.0,133,71,31,9400.0,43158.04,171.0,1263,0.10530482977038796
2016-02-01,44.0,122,65,30,9600.0,48109.37,202.0,1263,0.09659540775930324
2016-02-01,45.0,125,69,35,11700.0,46294.34,198.0,1263,0.09897070467141726
2016-02-01,46.0,137,70,30,10100.0,40097.43,171.0,1263,0.10847189231987332
2016-02-01,47.0,149,70,30,10100.0,47930.27,177.0,1263,0.11797307996832937
2016-02-01,48.0,153,61,23,7500.0,43614.11,185.0,1263,0.12114014251781473
2016-02-01,49.0,151,67,26,8200.0,53345.1,209.0,1263,0.11955661124307206
2016-02-01,50.0,151,81,36,10500.0,70719.5,264.0,1263,0.11955661124307206
2016-02-01,51.0,154,76,36,9900.0,57488.14,212.0,1263,0.12193190815518606
2016-02-01,52.0,155,71,35,11100.0,60286.9,245.0,1263,0.1227236737925574
2016-02-01,53.0,154,79,35,10700.0,62261.81,252.0,1263,0.12193190815518606
2016-02-01,54.0,148,81,37,11200.0,50415.42,201.0,1263,0.11718131433095803
2016-02-01,55.0,152,83,35,10800.0,59511.89,219.0,1263,0.12034837688044339
2016-02-01,56.0,135,76,33,9400.0,55668.3,221.0,1263,0.10688836104513064
2016-02-01,57.0,135,68,36,9300.0,50213.0,214.0,1263,0.10688836104513064
2016-02-01,58.0,142,69,31,9300.0,41268.43,162.0,1263,0.11243072050673
2016-02-01,59.0,143,72,30,9200.0,58907.020000000004,227.0,1263,0.11322248614410134
2016-02-01,60.0,145,77,28,8900.0,59923.35,238.0,1263,0.11480601741884403
2016-02-01,61.0,143,73,35,11200.0,58461.01,256.0,1263,0.11322248614410134
2016-02-01,62.0,133,78,36,11100.0,58996.02,238.0,1263,0.10530482977038796
2016-02-01,63.0,129,69,30,9300.0,52126.1,214.0,1263,0.1021377672209026
2016-02-01,64.0,137,58,27,9300.0,47805.51,201.0,1263,0.10847189231987332
2016-02-01,65.0,146,61,26,8500.0,48099.97,198.0,1263,0.11559778305621536
2016-02-01,66.0,145,73,30,9900.0,59107.78,228.0,1263,0.11480601741884403
2016-02-01,67.0,136,67,36,13000.0,53480.15,227.0,1263,0.10768012668250197
2016-02-01,68.0,138,66,36,11600.0,59945.61,245.0,1263,0.10926365795724466
2016-02-01,69.0,144,71,33,11100.0,54991.88,233.0,1263,0.11401425178147269
2016-02-01,70.0,146,81,34,12200.0,66499.6,229.0,1263,0.11559778305621536
2016-02-01,71.0,145,66,36,12200.0,55672.36,229.0,1263,0.11480601741884403
2016-02-01,72.0,155,76,32,10200.0,57188.64,236.0,1263,0.1227236737925574
2016-02-01,73.0,167,71,36,11300.0,46107.04,198.0,1263,0.13222486144101345
2016-02-01,74.0,169,74,36,10900.0,51615.13,225.0,1263,0.13380839271575615
2016-02-01,75.0,168,78,40,10300.0,66331.26,260.0,1263,0.1330166270783848
2016-02-01,76.0,162,81,44,10800.0,64487.84,251.0,1263,0.12826603325415678
2016-02-01,77.0,162,92,45,11000.0,69983.54,298.0,1263,0.12826603325415678
2016-02-01,78.0,161,80,42,11800.0,62033.95,242.0,1263,0.12747426761678543
2016-02-01,79.0,157,76,37,11100.0,58083.590000000004,242.0,1263,0.12430720506730007
2016-02-01,80.0,154,72,33,9800.0,52189.12,208.0,1263,0.12193190815518606
2016-02-01,81.0,156,71,34,9400.0,58827.57,227.0,1263,0.12351543942992874
2016-02-01,82.0,158,78,35,9900.0,63987.53,251.0,1263,0.1250989707046714
2016-02-01,83.0,169,87,37,10300.0,74112.78,264.0,1263,0.13380839271575615
2016-03-01,0.0,209,61,5,1600.0,45901.27,168.0,209,1.0
2016-03-01,1.0,151,61,13,4400.0,50990.55,200.0,209,0.722488038277512
2016-03-01,2.0,124,48,12,3900.0,31906.739999999998,116.0,209,0.5933014354066986
2016-03-01,3.0,95,39,13,3500.0,30324.06,117.0,209,0.45454545454545453
2016-03-01,4.0,80,39,15,4200.0,31910.26,118.0,209,0.3827751196172249
2016-03-01,5.0,64,30,18,4800.0,21210.06,85.0,209,0.3062200956937799
2016-03-01,6.0,51,29,18,4500.0,11537.3,54.0,209,0.24401913875598086
2016-03-01,7.0,50,22,12,3300.0,15803.72,62.0,209,0.23923444976076555
2016-03-01,8.0,41,13,6,2000.0,14045.220000000001,56.0,209,0.19617224880382775
2016-03-01,9.0,38,19,4,1100.0,15329.550000000001,61.0,209,0.18181818181818182
2016-03-01,10.0,32,13,6,1800.0,13099.04,47.0,209,0.15311004784688995
2016-03-01,11.0,30,13,7,2000.0,11717.68,38.0,209,0.14354066985645933
2016-03-01,12.0,27,8,5,1600.0,6092.41,27.0,209,0.1291866028708134
2016-03-01,13.0,25,10,5,1600.0,5897.82,28.0,209,0.11961722488038277
2016-03-01,14.0,22,13,6,1800.0,9820.46,32.0,209,0.10526315789473684
2016-03-01,15.0,28,14,6,1800.0,10771.039999999999,44.0,209,0.1339712918660287
2016-03-01,16.0,22,8,5,1600.0,4317.2,22.0,209,0.10526315789473684
2016-03-01,17.0,26,12,7,2000.0,7354.74,26.0,209,0.12440191387559808
2016-03-01,18.0,23,14,5,1300.0,10737.68,33.0,209,0.11004784688995216
2016-03-01,19.0,22,12,3,900.0,10229.79,38.0,209,0.10526315789473684
2016-03-01,20.0,22,10,2,400.0,6473.21,27.0,209,0.10526315789473684
2016-03-01,21.0,23,4,1,200.0,1560.0,10.0,209,0.11004784688995216
2016-03-01,22.0,25,7,2,400.0,5102.95,20.0,209,0.11961722488038277
2016-03-01,23.0,27,10,2,400.0,7295.25,31.0,209,0.1291866028708134
2016-03-01,24.0,27,7,3,900.0,6512.6,28.0,209,0.1291866028708134
2016-03-01,25.0,23,8,4,1100.0,7130.52,30.0,209,0.11004784688995216
2016-03-01,26.0,27,8,4,1100.0,7820.1900000000005,39.0,209,0.1291866028708134
2016-03-01,27.0,25,12,6,2000.0,10120.26,43.0,209,0.11961722488038277
2016-03-01,28.0,26,12,6,1700.0,8236.9,35.0,209,0.12440191387559808
2016-03-01,29.0,24,11,4,1600.0,5592.15,24.0,209,0.11483253588516747
2016-03-01,30.0,25,11,3,1200.0,10327.03,35.0,209,0.11961722488038277
2016-03-01,31.0,24,15,5,1900.0,10500.4,42.0,209,0.11483253588516747
2016-03-01,32.0,29,10,4,1700.0,9819.68,41.0,209,0.13875598086124402
2016-03-01,33.0,28,10,5,2400.0,15930.9,55.0,209,0.1339712918660287
2016-03-01,34.0,28,17,7,2300.0,16587.3,64.0,209,0.1339712918660287
2016-03-01,35.0,30,16,8,2500.0,12124.75,45.0,209,0.14354066985645933
2016-03-01,36.0,30,12,9,2400.0,11788.5,44.0,209,0.14354066985645933
2016-03-01,37.0,27,19,8,2200.0,11601.17,46.0,209,0.1291866028708134
2016-03-01,38.0,28,16,8,2800.0,17443.6,71.0,209,0.1339712918660287
2016-03-01,39.0,25,14,8,2800.0,3346.9,16.0,209,0.11961722488038277
2016-03-01,40.0,26,15,8,2200.0,15150.880000000001,56.0,209,0.12440191387559808
2016-03-01,41.0,28,19,9,2700.0,16402.86,66.0,209,0.1339712918660287
2016-03-01,42.0,21,14,9,2700.0,11782.97,47.0,209,0.10047846889952153
2016-03-01,43.0,18,14,7,2000.0,15190.07,50.0,209,0.0861244019138756
2016-03-01,44.0,19,8,6,1500.0,7952.82,29.0,209,0.09090909090909091
2016-03-01,45.0,14,9,6,1200.0,8938.2,30.0,209,0.06698564593301436
2016-03-01,46.0,20,10,4,800.0,3754.84,19.0,209,0.09569377990430622
2016-03-01,47.0,20,8,3,600.0,5166.83,26.0,209,0.09569377990430622
2016-03-01,48.0,24,7,3,600.0,5974.08,25.0,209,0.11483253588516747
2016-03-01,49.0,21,9,2,400.0,5172.4400000000005,24.0,209,0.10047846889952153
2016-03-01,50.0,18,6,1,200.0,4325.0,17.0,209,0.0861244019138756
2016-03-01,51.0,26,11,2,400.0,9582.07,41.0,209,0.12440191387559808
2016-03-01,52.0,21,10,4,1300.0,12036.38,42.0,209,0.10047846889952153
2016-03-01,53.0,25,9,5,1300.0,5804.24,23.0,209,0.11961722488038277
2016-03-01,54.0,22,14,4,1100.0,10720.4,45.0,209,0.10526315789473684
2016-03-01,55.0,25,11,5,1600.0,12790.07,43.0,209,0.11961722488038277
2016-03-01,56.0,24,11,5,1600.0,6574.16,30.0,209,0.11483253588516747
2016-03-01,57.0,17,10,5,1600.0,9373.93,40.0,209,0.08133971291866028
2016-03-01,58.0,18,10,5,1600.0,5958.69,24.0,209,0.0861244019138756
2016-03-01,59.0,24,15,5,1600.0,8222.61,32.0,209,0.11483253588516747
2016-03-01,60.0,27,11,4,1100.0,12523.33,37.0,209,0.1291866028708134
2016-03-01,61.0,23,10,5,1300.0,7998.360000000001,26.0,209,0.11004784688995216
2016-03-01,62.0,19,7,4,800.0,6893.6,25.0,209,0.09090909090909091
2016-03-01,63.0,15,8,3,600.0,8440.69,29.0,209,0.07177033492822966
2016-03-01,64.0,19,12,5,1300.0,7566.530000000001,36.0,209,0.09090909090909091
2016-03-01,65.0,25,13,5,1300.0,11839.24,47.0,209,0.11961722488038277
2016-03-01,66.0,21,10,5,1600.0,10188.380000000001,43.0,209,0.10047846889952153
2016-03-01,67.0,21,12,7,2000.0,14750.4,53.0,209,0.10047846889952153
2016-03-01,68.0,20,12,7,2000.0,7709.98,38.0,209,0.09569377990430622
2016-03-01,69.0,14,13,7,2000.0,3056.4,13.0,209,0.06698564593301436
2016-03-01,70.0,18,8,5,1600.0,5382.89,25.0,209,0.0861244019138756
2016-03-01,71.0,18,10,5,1900.0,6070.57,29.0,209,0.0861244019138756
2016-03-01,72.0,21,10,7,3000.0,8274.53,38.0,209,0.10047846889952153
2016-03-01,73.0,26,15,8,3000.0,10033.71,33.0,209,0.12440191387559808
2016-03-01,74.0,25,16,7,2000.0,13702.01,53.0,209,0.11961722488038277
2016-03-01,75.0,31,15,7,2000.0,13020.82,49.0,209,0.14832535885167464
2016-03-01,76.0,34,12,6,1800.0,11802.74,44.0,209,0.16267942583732056
2016-03-01,77.0,30,13,8,2200.0,7588.98,39.0,209,0.14354066985645933
2016-03-01,78.0,29,19,9,2400.0,12669.84,50.0,209,0.13875598086124402
2016-03-01,79.0,24,15,8,2200.0,6074.23,21.0,209,0.11483253588516747
2016-03-01,80.0,25,14,9,2700.0,6913.58,30.0,209,0.11961722488038277
2016-03-01,81.0,25,10,6,2100.0,6876.04,25.0,209,0.11961722488038277
2016-03-01,82.0,22,12,3,1200.0,7365.0,25.0,209,0.10526315789473684
2016-04-01,0.0,197,63,10,2300.0,48448.69,196.0,197,1.0
2016-04-01,1.0,159,55,17,5000.0,46283.72,175.0,197,0.8071065989847716
2016-04-01,2.0,117,45,20,5400.0,32023.760000000002,132.0,197,0.5939086294416244
2016-04-01,3.0,89,43,19,5700.0,36547.67,159.0,197,0.4517766497461929
2016-04-01,4.0,77,39,19,5800.0,30846.22,120.0,197,0.39086294416243655
2016-04-01,5.0,62,39,21,6000.0,31611.65,120.0,197,0.3147208121827411
2016-04-01,6.0,51,34,23,7500.0,34153.3,114.0,197,0.25888324873096447
2016-04-01,7.0,45,27,18,6000.0,18369.5,73.0,197,0.22842639593908629
2016-04-01,8.0,40,25,16,5000.0,12606.34,48.0,197,0.20304568527918782
2016-04-01,9.0,30,22,13,4400.0,6845.66,28.0,197,0.15228426395939088
2016-04-01,10.0,29,18,11,3700.0,6762.4,33.0,197,0.14720812182741116
2016-04-01,11.0,27,19,11,3700.0,8207.97,30.0,197,0.13705583756345177
2016-04-01,12.0,31,23,13,4400.0,12989.939999999999,52.0,197,0.15736040609137056
2016-04-01,13.0,23,17,10,3500.0,5260.28,21.0,197,0.116751269035533
2016-04-01,14.0,20,12,7,2000.0,6835.280000000001,21.0,197,0.10152284263959391
2016-04-01,15.0,19,10,6,1800.0,9224.849999999999,25.0,197,0.09644670050761421
2016-04-01,16.0,18,8,7,2000.0,6681.0,25.0,197,0.09137055837563451
2016-04-01,17.0,13,9,7,2000.0,259.0,3.0,197,0.06598984771573604
2016-04-01,18.0,18,9,2,400.0,4933.0,22.0,197,0.09137055837563451
2016-04-01,19.0,18,9,3,600.0,6396.8099999999995,33.0,197,0.09137055837563451
2016-04-01,20.0,19,7,3,600.0,4044.29,19.0,197,0.09644670050761421
2016-04-01,21.0,15,8,3,900.0,13233.7,54.0,197,0.07614213197969544
2016-04-01,22.0,19,6,4,1100.0,4376.35,19.0,197,0.09644670050761421
2016-04-01,23.0,21,5,2,700.0,3889.07,15.0,197,0.1065989847715736
2016-04-01,24.0,23,9,2,700.0,7059.87,29.0,197,0.116751269035533
2016-04-01,25.0,17,9,2,400.0,6035.360000000001,21.0,197,0.08629441624365482
2016-04-01,26.0,19,6,2,400.0,2530.39,9.0,197,0.09644670050761421
2016-04-01,27.0,20,12,5,1600.0,8323.62,40.0,197,0.10152284263959391
2016-04-01,28.0,22,10,6,2600.0,5811.1,26.0,197,0.1116751269035533
2016-04-01,29.0,21,8,5,2400.0,13469.689999999999,52.0,197,0.1065989847715736
2016-04-01,30.0,22,13,8,3000.0,19351.93,83.0,197,0.1116751269035533
2016-04-01,31.0,19,12,7,2800.0,15501.44,60.0,197,0.09644670050761421
2016-04-01,32.0,19,15,7,2500.0,13550.6,53.0,197,0.09644670050761421
2016-04-01,33.0,19,16,9,2900.0,11849.22,50.0,197,0.09644670050761421
2016-04-01,34.0,19,10,6,1800.0,4183.6,18.0,197,0.09644670050761421
2016-04-01,35.0,21,9,6,2100.0,7357.639999999999,31.0,197,0.1065989847715736
2016-04-01,36.0,23,10,6,2400.0,5865.3,26.0,197,0.116751269035533
2016-04-01,37.0,22,11,7,3200.0,9506.9,43.0,197,0.1116751269035533
2016-04-01,38.0,23,15,6,2700.0,12967.0,44.0,197,0.116751269035533
2016-04-01,39.0,23,10,4,2000.0,9015.2,38.0,197,0.116751269035533
2016-04-01,40.0,25,11,5,2200.0,4124.59,19.0,197,0.12690355329949238
2016-04-01,41.0,21,10,3,1200.0,4780.0,15.0,197,0.1065989847715736
2016-04-01,42.0,20,10,5,1900.0,5330.9400000000005,25.0,197,0.10152284263959391
2016-04-01,43.0,21,11,4,1400.0,4284.9400000000005,19.0,197,0.1065989847715736
2016-04-01,44.0,22,8,3,1200.0,4382.0,21.0,197,0.1116751269035533
2016-04-01,45.0,24,14,4,1700.0,9997.0,38.0,197,0.1218274111675127
2016-04-01,46.0,29,15,5,1900.0,8431.97,33.0,197,0.14720812182741116
2016-04-01,47.0,28,17,6,2100.0,10847.84,49.0,197,0.14213197969543148
2016-04-01,48.0,31,15,7,2300.0,11500.21,49.0,197,0.15736040609137056
2016-04-01,49.0,22,12,8,2500.0,7964.599999999999,40.0,197,0.1116751269035533
2016-04-01,50.0,25,10,7,2000.0,2595.6,9.0,197,0.12690355329949238
2016-04-01,51.0,26,10,6,1800.0,4535.3,19.0,197,0.1319796954314721
2016-04-01,52.0,28,15,6,1800.0,7258.2,30.0,197,0.14213197969543148
2016-04-01,53.0,28,14,5,1600.0,5326.5,26.0,197,0.14213197969543148
2016-04-01,54.0,27,9,6,1500.0,8018.57,33.0,197,0.13705583756345177
2016-04-01,55.0,27,13,5,1300.0,8473.98,37.0,197,0.13705583756345177
2016-04-01,56.0,17,10,6,1800.0,11740.84,45.0,197,0.08629441624365482
2016-04-01,57.0,16,10,6,1800.0,7399.73,25.0,197,0.08121827411167512
2016-04-01,58.0,17,11,4,1400.0,5988.0,22.0,197,0.08629441624365482
2016-04-01,59.0,16,8,2,700.0,3677.72,14.0,197,0.08121827411167512
2016-04-01,60.0,15,5,1,200.0,3292.5699999999997,13.0,197,0.07614213197969544
2016-04-01,61.0,10,3,1,200.0,2658.2200000000003,13.0,197,0.050761421319796954
2016-04-01,62.0,18,5,1,400.0,2905.19,14.0,197,0.09137055837563451
2016-04-01,63.0,22,5,1,200.0,3832.94,19.0,197,0.1116751269035533
2016-04-01,64.0,26,10,1,200.0,5229.0,23.0,197,0.1319796954314721
2016-04-01,65.0,27,8,4,1700.0,6089.3,23.0,197,0.13705583756345177
2016-04-01,66.0,25,12,4,1700.0,8343.039999999999,45.0,197,0.12690355329949238
2016-04-01,67.0,26,10,4,1400.0,12593.98,43.0,197,0.1319796954314721
2016-04-01,68.0,21,11,5,1600.0,5994.89,19.0,197,0.1065989847715736
2016-04-01,69.0,25,11,6,1800.0,10429.14,48.0,197,0.12690355329949238
2016-04-01,70.0,24,17,7,2000.0,17561.48,60.0,197,0.1218274111675127
2016-04-01,71.0,27,13,6,1800.0,7407.7,33.0,197,0.13705583756345177
2016-04-01,72.0,26,13,7,2000.0,6049.65,26.0,197,0.1319796954314721
